title,dataset_name,stage,title_id,wss95_count,wss95_mean,wss95_std,wss95_min,wss95_25%,wss95_50%,wss95_75%,wss95_max,rrf10_count,rrf10_mean,rrf10_std,rrf10_min,rrf10_25%,rrf10_50%,rrf10_75%,rrf10_max
Distal_radius_fractures_approach,data/Distal_radius_fractures_approach_noisy_inclusion.csv,Clinician,1,11.0,32.31,6.37,27.72,28.53,30.98,32.61,50.54,11.0,29.09,8.31,10.0,30.0,30.0,30.0,40.0
Distal_radius_fractures_closed_reduction,data/Distal_radius_fractures_closed_reduction_noisy_inclusion.csv,Clinician,2,8.0,43.33,5.47,38.35,40.51,41.73,43.98,56.02,8.0,28.57,13.23,14.29,14.29,28.57,42.86,42.86
Hallux_valgus_prognostic,data/Hallux_valgus_prognostic_noisy_inclusion.csv,Clinician,3,20.0,55.76,2.54,53.1,54.29,55.48,55.64,64.23,20.0,43.16,5.56,31.58,42.11,42.11,47.37,52.63
Head_and_neck_cancer_bone,data/Head_and_neck_cancer_bone_noisy_inclusion.csv,Clinician,4,34.0,73.15,1.43,70.64,71.72,73.3,73.97,76.64,34.0,66.22,4.1,60.61,63.64,66.67,69.7,72.73
Head_and_neck_cancer_imaging,data/Head_and_neck_cancer_imaging_noisy_inclusion.csv,Clinician,5,18.0,48.89,0.0,48.89,48.89,48.89,48.89,48.89,18.0,28.1,2.52,23.53,29.41,29.41,29.41,29.41
Obstetric_emergency_training,data/Obstetric_emergency_training_noisy_inclusion.csv,Clinician,6,18.0,40.33,2.47,35.03,38.56,40.68,41.24,45.76,18.0,47.06,6.69,35.29,41.18,47.06,52.94,58.82
Post_intensive_care_treatment,data/Post_intensive_care_treatment_noisy_inclusion.csv,Clinician,7,109.0,32.7,1.25,28.86,31.93,32.63,33.58,35.23,109.0,25.63,3.31,7.41,24.07,26.85,27.78,29.63
Pregnancy_medication,data/Pregnancy_medication_noisy_inclusion.csv,Clinician,8,45.0,66.42,1.26,64.28,65.48,66.44,66.92,70.75,45.0,60.45,5.34,34.09,59.09,61.36,61.36,68.18
Shoulder_replacement_diagnostic,data/Shoulder_replacement_diagnostic_noisy_inclusion.csv,Clinician,9,3.0,97.99,0.7,97.58,97.58,97.58,98.19,98.79,3.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
Shoulder_replacement_surgery,data/Shoulder_replacement_surgery_noisy_inclusion.csv,Clinician,10,6.0,74.78,2.53,70.47,73.7,75.91,76.17,77.2,6.0,63.33,8.16,60.0,60.0,60.0,60.0,80.0
Shoulderdystocia_positioning,data/Shoulderdystocia_positioning_noisy_inclusion.csv,Clinician,11,6.0,79.55,1.82,75.85,80.19,80.19,80.19,80.68,6.0,46.67,20.66,20.0,30.0,60.0,60.0,60.0
Shoulderdystocia_recurrence,data/Shoulderdystocia_recurrence_noisy_inclusion.csv,Clinician,12,5.0,61.3,14.84,52.47,54.32,54.63,57.41,87.65,5.0,65.0,22.36,25.0,75.0,75.0,75.0,75.0
Total_knee_replacement,data/Total_knee_replacement_noisy_inclusion.csv,Clinician,13,35.0,65.09,4.03,59.53,62.62,64.22,66.14,78.08,35.0,78.74,10.14,23.53,79.41,79.41,82.35,85.29
Vascular_access,data/Vascular_access_noisy_inclusion.csv,Clinician,14,21.0,34.84,16.34,26.67,27.98,29.03,32.98,86.59,21.0,85.95,19.72,0.0,90.0,90.0,90.0,95.0
